production_budget_usd,worldwide_gross_usd
6200000.00,9205924.00
20000000.00,9208876.00
10000000.00,9263940.00
8000000.00,9266180.00
5360529.00,9278195.00
25000000.00,9286314.00
11000000.00,9307166.00
25000000.00,9313302.00
27000000.00,9352089.00
20000000.00,9355369.00
25000000.00,9370285.00
12500000.00,9376444.00
6400000.00,9394401.00
10000000.00,9424052.00
40000000.00,9430149.00
17000000.00,9438074.00
7400000.00,9443864.00
25000000.00,9445081.00
22000000.00,9448623.00
55000000.00,9521458.00
6800000.00,9533964.00
20000000.00,9537120.00
15000000.00,9579068.00
20000000.00,9609811.00
13000000.00,9633387.00
50000000.00,9648361.00
5800000.00,9662214.00
45000000.00,9676497.00
5100000.00,9709597.00
17000000.00,9729088.00
50000000.00,9812870.00
37500000.00,9813309.00
22000000.00,9818792.00
15000000.00,9932146.00
20000000.00,9985316.00
17000000.00,10000000.00
65000000.00,10014234.00
10000000.00,10019109.00
13000000.00,10020081.00
12000000.00,10026255.00
25000000.00,10039566.00
15000000.00,10055481.00
7000000.00,10062896.00
29000000.00,10066366.00
40000000.00,10070651.00
20000000.00,10078776.00
6000000.00,10106975.00
21000000.00,10108016.00
12000000.00,10116816.00
10100000.00,10143618.00
6500000.00,10155691.00
35000000.00,10157534.00
9000000.00,10176701.00
8000000.00,10192613.00
10000000.00,10220614.00
38000000.00,10229300.00
7000000.00,10237229.00
8000000.00,10245743.00
6000000.00,10278575.00
35000000.00,10319915.00
27000000.00,10341093.00
50000000.00,10359006.00
105000000.00,10364769.00
30000000.00,10383524.00
8500000.00,10386814.00
20000000.00,10393696.00
14000000.00,10397365.00
19000000.00,10412485.00
30000000.00,10419084.00
11000000.00,10431506.00
24200000.00,10447579.00
20000000.00,10468867.00
15000000.00,10513979.00
90000000.00,10551417.00
20000000.00,10555348.00
6000000.00,10557291.00
50000000.00,10561038.00
20000000.00,10570375.00
10000000.00,10571408.00
20000000.00,10588079.00
60000000.00,10597070.00
27000000.00,10618813.00
6000000.00,10619770.00
8000000.00,10629320.00
17000000.00,10637281.00
9000000.00,10642023.00
23000000.00,10660147.00
